Simulated Temperature Changes,Genre,ECS,piControl,midHolocene,lgm,lig127k,midPliocene,abrupt4xCO2,1pctCO2,,,,,,,,model,midHolocene,piControl
NESM3,CMIP6,3.7,https://doi.org/10.22033/ESGF/CMIP6.8776,https://doi.org/10.22033/ESGF/CMIP6.8773 ,,https://doi.org/10.22033/ESGF/CMIP6.8772,,https://doi.org/10.22033/ESGF/CMIP6.8719,https://doi.org/10.22033/ESGF/CMIP6.8709,,,,,,,,bcc-csm1-1,,http://doi.org/10.1594/WDCC/CMIP5.BCB1pc
NorESM1-F,PMIP4,2.3,https://doi.org/10.22033/ESGF/CMIP6.11595,https://doi.org/10.22033/ESGF/CMIP6.11591 ,,https://doi.org/10.22033/ESGF/CMIP6.11590,https://doi.org/10.22033/ESGF/CMIP6.11592,,,,,,,,,,CCSM4,,http://doi.org/10.1594/WDCC/CMIP5.NRS4pc
NorESM2-LM,CMIP6,2.5,https://doi.org/10.22033/ESGF/CMIP6.8217,https://doi.org/10.22033/ESGF/CMIP6.8079,,https://doi.org/10.22033/ESGF/CMIP6.8078,,https://doi.org/10.22033/ESGF/CMIP6.7836,https://doi.org/10.22033/ESGF/CMIP6.13724,,,,,,,,CNRM-CM5,,http://doi.org/10.1594/WDCC/CMIP5.CEC5pc
UofT-CCSM-4 ,PMIP4,3.2,N/A,N/A,N/A,,N/A,,,,,,,,,,CSIRO-MK3-6-0,,http://doi.org/10.1594/WDCC/CMIP5.CQMKpc
BCC-CSM1-1,CMIP5,3.1,http://doi.org/10.1594/WDCC/CMIP5.BCB1pc,http://doi.org/10.1594/WDCC/CMIP5.BCB1mh ,,,http://doi.org/10.1594/WDCC/CMIP5.BCB1c1,http://doi.org/10.1594/WDCC/CMIP5.BCB1c2,,,,,,,,,CSIRO-MK3L-1-2,,N/A\\
CCSM4,CMIP5,2.9,http://doi.org/10.1594/WDCC/CMIP5.NRS4pc,http://doi.org/10.1594/WDCC/CMIP5.NRS4mh ,http://doi.org/10.1594/WDCC/CMIP5.NRS4lg,,http://doi.org/10.1594/WDCC/CMIP5.NRS4c1,http://doi.org/10.1594/WDCC/CMIP5.NRS4c2,,,,,,,,,EC-Earth-2-2& N/A,N/A\\,
CNRM-CM5,CMIP5,3.3,http://doi.org/10.1594/WDCC/CMIP5.CEC5pc,http://doi.org/10.1594/WDCC/CMIP5.CEC5mh ,http://doi.org/10.1594/WDCC/CMIP5.CEC5lg,,http://doi.org/10.1594/WDCC/CMIP5.CEC5c1,http://doi.org/10.1594/WDCC/CMIP5.CEC5c2,,,,,,,,,FGOALS-G2,,
CSIRO-Mk3-6-0,CMIP5,4.1,http://doi.org/10.1594/WDCC/CMIP5.CQMKpc,http://doi.org/10.1594/WDCC/CMIP5.CQMKmh ,,,http://doi.org/10.1594/WDCC/CMIP5.CQMKc1,http://doi.org/10.1594/WDCC/CMIP5.CQMKc2,,,,,,,,,FGOALS-S2,,
CSIRO-Mk3L-1-2,PMIP3,3.1,N/A,N/A,,,,,,,,,,,,,GISS-E2-R,,
EC-EARTH-2-2,CMIP5,4.2,N/A,N/A,,,,,,,,,,,,,HadGEM2-CC,,
FGOALS-g2,CMIP5,3.7,http://doi.org/10.1594/WDCC/CMIP5.LSF2pc,http://doi.org/10.1594/WDCC/CMIP5.LSF2mh ,http://doi.org/10.1594/WDCC/CMIP5.LSF2lg,,http://doi.org/10.1594/WDCC/CMIP5.LSF2c1,http://doi.org/10.1594/WDCC/CMIP5.LSF2c2,,,,,,,,,HadGEM2-ES,,
